,EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name
0,ILD980397079,"A & F MATERIAL RECLAIMING, INC.",GREENUP,Cumberland,IL,WEST CUMBERLAND,62428,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,09/24/1992,,,,Active,"Recycling, Recycling, Recycling","Chemicals/chemical waste (e.g., solvent recovery), Multiple, Waste/used oil",,No,,,No,"A & F MATERIAL RECLAIMING, INC, A & F MATERIAL RECLAIMING, INC., A & F MATERIALS, A & F MATERIALS, A & F MATERIALS / GREEN UP, A & F MATERIALS RECLAIMING INC, A & F MATERIALS RECLAIMING, INC., A & F MATERIALS RECLAIMING, INC., A & F MATERIALS/GREENUP, A & F MATERIALS/GREENUP",[Blank Date],www.epa.gov/superfund/af-material-reclaiming,
1,ILD053219259,"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)",MORRISTOWN,Winnebago,IL,EAST OF LINDENWOOD RD,61109,R05,Final NPL,No,No,No,Yes,Yes,Yes,07/13/1998,,,,Active,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",,No,,31.98,No,"ACME SOLVENT RECLAIMERS INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING(MORRISTOWN PLANT, ACME SOLVENT RECLAIMING(MORRISTOWN PLANT), ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT), MORRISTOWN PLANT",[Blank Date],www.epa.gov/superfund/acme-solvent-reclaiming,
2,ILN000509241,ACME STEEL COKE PLANT,CHICAGO,Cook,IL,11236 SOUTH TORRENCE AVE.,60617-6440,R05,Proposed NPL,No,No,No,Status Unavailable,Status Unavailable,No,,,,,Active,Manufacturing/Processing/Maintenance,Coke production,,No,,30.0,No,,09/07/2023,www.epa.gov/superfund/acme-steel-coke,
3,ILD980607055,ADAMS COUNTY QUINCY LANDFILLS 2&3,QUINCY,Adams,IL,2 MILES NORTH OF BURTON TWP 1/2 MI WEST,62301,R05,Final NPL,No,No,No,Insufficient Data,Insufficient Data,Yes,03/31/1999,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,34.21,No,"ADAMS COUNTY QUINCY LANDFILL SITE #2 & #3, ADAMS COUNTY QUINCY LANDFILL SITE 2 & 3, ADAMS COUNTY QUINCY LANDFILL SITE 2&3, ADAMS COUNTY QUINCY LANDFILLS 2&3, ADAMS COUNTY QUINCY LANDFILLS 2&3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, QUINCY MUNI LDFL 2, QUINCY MUNI LDFL 2 AND 3 OF, QUINCY MUNI LDFL 2 AND 3 OF",[Blank Date],www.epa.gov/superfund/adams-county-landfills,
4,ILSFN0508010,ALCOA PROPERTIES,EAST ST. LOUIS,St. clair,IL,3000 E. MISSOURI AVENUE,62205,R05,Not NPL,No,Yes,No,No,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Primary metals/mineral processing,,No,,,No,NORTH ALCOA,12/31/2002,www.epa.gov/superfund/alcoa-properties,
5,ILD002994259,AMOCO CHEMICALS (JOLIET LANDFILL),JOLIET,Will,IL,approx. or near 23423 Amoco Rd.,60410,R05,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,"Manufacturing/Processing/Maintenance, Multiple, Recycling, Waste Management","Chemicals and allied products, Co-disposal landfill (municipal and industrial), Multiple, Multiple",,No,,39.44,No,"AMOCO CHEMICAL (JOLIET LANDFILL), AMOCO CHEMICAL (JOLIET LANDFILL), AMOCO CHEMICAL CORP, AMOCO CHEMICALS (JOLIET LANDFILL), AMOCO CHEMICALS (JOLIET), AMOCO CHEMICALS (JOLIET LANDFILL), JOLIET LANDFILL",04/01/1979,www.epa.gov/superfund/amoco-chemicals-landfill,
6,ILN000508170,ASARCO TAYLOR SPRINGS,TAYLOR SPRINGS,Montgomery,IL,PUBLIC ROAD AND BROADWAY STREET,62089,R05,Final NPL,No,No,No,No,Yes,No,,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,30.0,No,"ASARCO, ASARCO TAYLOR SPRINGS",05/23/2000,www.epa.gov/superfund/asarco-taylor-springs,
7,ILN000510407,BAUTSCH-GRAY MINE,GALENA,Jo daviess,IL,1000 SOUTH BLACKJACK ROAD,61036,R05,Final NPL,No,No,No,No,Insufficient Data,No,,,,,Active,Mining,Metals,,No,,48.97,No,"BAUTSCH-GRAY MINE, BAUTSCH-GREY MINE",05/15/2000,www.epa.gov/superfund/bautsch-gray-mine,
8,ILD021440375,BELOIT CORP.,ROCKTON,Winnebago,IL,1165 PRAIRIE HILL RD,61072,R05,Final NPL,Yes,No,No,Insufficient Data,Insufficient Data,Yes,09/29/2008,,,,Active,Manufacturing/Processing/Maintenance,Lumber and wood products/pulp and paper,,No,,,No,"BELOIT CORP, BELOIT CORP, BELOIT CORP.",[Blank Date],www.epa.gov/superfund/beloit-corp,
9,ILD980497663,BELVIDERE MUNICIPAL LANDFILL,BELVIDERE,Boone,IL,APPLETON RD,61008,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,06/10/1992,,,,Active,Waste Management,Municipal solid waste landfill,,No,,,No,"BELVIDERE LDFL, BELVIDERE MUNICIPAL LANDFILL, BELVIDERE MUNICIPAL LANDFILL #1, BELVIDERE MUNICIPAL LDFL #1",[Blank Date],www.epa.gov/superfund/belvidere-municipal-landfill,
10,ILD010236230,BYRON SALVAGE YARD,BYRON,Ogle,IL,NW1/4 SEC 13 T24N R10E,61010,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,09/16/2003,,,,Active,Waste Management,Other,,No,,33.93,No,"BYRON JOHNSON, BYRON SALVAGE YARD, BYRON SALVAGE YARD",[Blank Date],www.epa.gov/superfund/byron-salvage-yard,
11,ILD981781065,CENTRAL ILLINOIS PUBLIC SERVICE CO.,TAYLORVILLE,Christian,IL,SOUTH WEBSTER STREET,62568,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,09/06/1995,,,,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,28.95,No,"CENTRAL ILLINOIS PUBLIC SERVICE CO, CENTRAL ILLINOIS PUBLIC SERVICE CO, CENTRAL ILLINOIS PUBLIC SERVICE CO., CIPS",12/03/1986,www.epa.gov/superfund/central-illinois-publicservice,
12,ILD048843809,CHEMETCO,HARTFORD,Madison,IL,3754 CHEMETCO LANE,62048,R05,Final NPL,No,No,No,Insufficient Data,Insufficient Data,No,,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,30.0,No,CHEMETCO,[Blank Date],www.epa.gov/superfund/chemetco,
13,ILD050231976,CIRCLE SMELTING CORP.,BECKEMEYER,Clinton,IL,STATE RTE 50,62231,R05,Proposed NPL,No,No,No,Yes,Not a Groundwater Site,No,,,,,Active,Recycling,Batteries/scrap metals/secondary smelting/precious metal recovery,,No,,70.71,No,"CIRCLE SMELTING CORP, CIRCLE SMELTING CORP, CIRCLE SMELTING CORP., CIRCLE SMELTING CORPORATION",05/27/1987,www.epa.gov/superfund/circle-smelting,
14,ILD980792303,CROSS BROTHERS PAIL RECYCLING (PEMBROKE),PEMBROKE TOWNSHIP,Kankakee,IL,ADDRESS UNREPORTED,60944,R05,Final NPL,No,No,No,Insufficient Data,Insufficient Data,Yes,06/07/1996,,,,Active,Recycling,Drums/tanks,,No,,42.04,No,"CROSS BROTHERS PAIL RECYCLING, CROSS BROTHERS PAIL RECYCLING (PEMBROKE), CROSS BROTHERS PAIL RECYCLING (PEMBROKE), CROSS BROTHERS PAIL RECYCLING SITE",04/01/1980,www.epa.gov/superfund/cross-brothers-recycling,
15,ILD062340641,DEPUE/NEW JERSEY ZINC/MOBIL CHEMICAL CORP.,DEPUE,Bureau,IL,DEPOT ST & MARQUETTE ST,61356,R05,Final NPL,No,No,No,No,No,No,,,,,Active,"Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance","Chemicals and allied products, Multiple, Primary metals/mineral processing",,No,,70.71,No,"DEPUE PLT, DEPUE/NEW JERSEY ZINC /MOBIL CHEM CORP, DEPUE/NEW JERSEY ZINC /MOBIL CHEM CORP, DEPUE/NEW JERSEY ZINC /MOBIL CHEMICAL CORPORATION, DEPUE/NEW JERSEY ZINC/MOB, DEPUE/NEW JERSEY ZINC/MOBIL CHEM CORP, DEPUE/NEW JERSEY ZINC/MOBIL CHEMICAL CORPORATION, DEPUE/NEW JERSY ZINC/MOBIL CHEMICAL CORP., DEPUE/NEW JERSY ZINC/MOBIL CHEMICAL CORP., NEW JERSEEY ZINC, NEW JERSEY ZINC",04/01/1979,www.epa.gov/superfund/depue-newjersey-zinc,
16,ILD980606305,DUPAGE COUNTY LANDFILL/BLACKWELL FOREST PRESERVE,WARRENVILLE,Dupage,IL,ROUTE 56,60555,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,09/30/1998,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,,No,"BLACKWELL FOREST PRESERVE, DU PAGE COUNTY LANDFILL/BLACKWELL FORRES, DU PAGE COUNTY LDFL/BLACKW, DUPAGE COUNTY LANDFILL/BLACKWELL FOREST, DUPAGE COUNTY LANDFILL/BLACKWELL FOREST PRESERVE, DUPAGE COUNTY LANDFILL/BLACKWELL FOREST PRESERVE, DUPAGE COUNTY LANDFILL/BLACKWELL FOREST PRESERVE, DUPAGE COUNTY LDFL BLACKWELL FOREST, DUPAGE COUNTY LDFL/BLACKWELL FOREST PRES, DUPAGE COUNTY LDFL/BLACKWELL FOREST PRES",[Blank Date],www.epa.gov/superfund/dupage-county-landfill,
17,ILD980606941,EAGLE ZINC CO DIV T L DIAMOND,HILLSBORO,Montgomery,IL,218 INDUSTRIAL PARK DRIVE,62049,R05,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,Manufacturing/Processing/Maintenance,Primary metals/mineral processing,,No,,50.0,No,"EAGLE ZINC CO DIV OF T L, EAGLE ZINC CO DIV OF T L DIAMOND, EAGLE ZINC CO DIV OF T L DIAMOND, EAGLE ZINC CO DIV T L DIAMOND, EAGLE ZINC COMPANY, EAGLE ZINE CO DIV OF T L DIAMOND, SHERWIN WILLIAMS HILLSBORO PLT",06/01/1981,www.epa.gov/superfund/eagle-zinc,
18,ILN000508246,ELLSWORTH INDUSTRIAL PARK,DOWNERS GROVE,Dupage,IL,2100 - 2800 CURTISS STREET,60515,R05,Not NPL,No,Yes,No,Insufficient Data,Yes,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,,No,"DOWNERS GROVE GROUNDWATER, ELLSWORTH INDUSTRIAL PARK",04/04/2006,www.epa.gov/superfund/ellsworth-industrial-park,
19,ILD099213498,ESTECH GENERAL CHEMICAL COMPANY,CALUMET CITY,Cook,IL,150 MARBLE STREET,60409,R05,Final NPL,No,No,No,Insufficient Data,Insufficient Data,No,,,,,Active,Waste Management,Illegal disposal/open dump,,No,,30.0,No,"ESTECH GENERAL CHEMICAL C, ESTECH GENL CHEM CALUMET CITY PLT, ESTECH GENL CHEM CO, ESTECH GENL CHEM CO, MARBLE STREET DUMP",03/26/2015,www.epa.gov/superfund/estech-general-chemical,
20,ILD984836734,EVERGREEN MANOR GROUND WATER CONTAMINATION,WINNEBAGO COUNTY,Winnebago,IL,MCCURRY ROAD AND ELEVATOR ROAD,61073,R05,Removed from NPL,No,Yes,Yes,Yes,Yes,No,,,,,Active,Other,Ground water plume site with no identifiable source,,No,,,No,"EVERGREEN MANOR GROUND WATER CONTAMINATION, EVERGREEN MANOR GROUNDWATER, EVERGREEN MANOR GROUNDWATER CONTAMINATIO, EVERGREEN MANOR GW CONTAMINATION PLUME",08/03/1991,www.epa.gov/superfund/evergreen-manor-groundwater,
21,ILD990817991,GALESBURG/KOPPERS CO.,GALESBURG,Knox,IL,HWY 41S PO BOX 1191,61401,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,09/28/2001,,,,Active,Manufacturing/Processing/Maintenance,Lumber and wood products/wood preserving/treatment,,No,,34.78,No,"BURLINGTON NORTHERN RAILYARD, GALESBURG / KOPPERS CO, GALESBURG / KOPPERS CO, GALESBURG KOPPERS CO, GALESBURG/KOPPERS CO., GALESBURG/KOPPERS CO., GALESBURG/KOPPERS COMPANY, KOPPERS, KOPPERS CO/GALESBURG, KOPPERS GALESBURG",04/01/1979,www.epa.gov/superfund/galesburg-koppers,
22,ILD980605836,H.O.D. LANDFILL,ANTIOCH,Lake,IL,55 MCMILLAN ROAD,60002,R05,Final NPL,No,No,No,Yes,Insufficient Data,Yes,06/29/2001,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,34.68,No,"CCD DISPOSAL, H O D LANDFILL, H O D LDFL, H O D LDFL, H O D LDFL, H.O.D. LANDFILL, H.O.D. LANDFILL",06/01/1981,www.epa.gov/superfund/hod-landfill,
23,ILN000508134,HEGELER ZINC,DANVILLE,Vermilion,IL,1 HEGELER LANE,61832,R05,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,"Manufacturing/Processing/Maintenance, Mining","Metals, Primary metals/mineral processing",,No,,50.0,No,HEGELER ZINC,09/15/2000,www.epa.gov/superfund/hegeler-zinc,
24,ILD980996789,ILADA ENERGY CO.,EAST CAPE GIRARDEAU,Alexander,IL,ROUTE 3,62957,R05,Deleted NPL,Yes,No,Yes,Yes,Insufficient Data,Yes,09/28/1999,,,,Active,Recycling,Waste/used oil,,No,,,No,"ILADA ENERGY CO, ILADA ENERGY CO, ILADA ENERGY CO.",[Blank Date],www.epa.gov/superfund/ilada-energy,
25,ILD042671248,INDIAN REFINERY-TEXACO LAWRENCEVILLE,LAWRENCEVILLE,Lawrence,IL,SOUTH SEVENTH STREET,62439,R05,Final NPL,No,No,No,Yes,Yes,No,,,,,Active,Manufacturing/Processing/Maintenance,Oil and gas refining,,No,,56.67,No,"AMERICAN WESTERN REFINING, INDIAN ACRES, INDIAN REFINERY - TEXACO LAWRENCEVILLE, INDIAN REFINERY-TEXACO LAWRENCEVILLE, INDIAN REFINERY-TEXACO LAWRENCEVILLE, TEXACO INC LAWRENCEVILLE REF, TEXACO INC TEXACO USA DIV, TEXACO LAWRENCEVILLE, TEXACO REFINERY - INDIAN ACRES, TEXACO/INDIAN REFINERY/LAWRENCE",[Blank Date],www.epa.gov/superfund/indian-refinery-texaco-lawrenceville,
26,ILT180011975,"INTERSTATE POLLUTION CONTROL, INC.",ROCKFORD,Winnebago,IL,NW OF MAGNOLIA & PEOPLES AVE,61109,R05,Final NPL,No,No,No,Yes,Yes,Yes,09/06/2006,,,,Active,Waste Management,Industrial waste facility (non-generator),,No,,46.01,No,"INTERSTATE POLLUTION CONTROL INC, INTERSTATE POLLUTION CONTROL INC, INTERSTATE POLLUTION CONTROL INC, INTERSTATE POLLUTION CONTROL, INC, INTERSTATE POLLUTION CONTROL, INC., ROTO ROOTER SERV INC",04/01/1981,www.epa.gov/superfund/interstate-pollution-control,
27,ILD006282479,JENNISON-WRIGHT CORPORATION,GRANITE CITY,Madison,IL,900 WEST 22ND ST,62040,R05,Final NPL,No,No,No,Yes,Insufficient Data,Yes,09/28/2009,,,,Active,Manufacturing/Processing/Maintenance,Lumber and wood products/wood preserving/treatment,,No,,40.3,No,"JENNISON WRIGHT CORP, JENNISON-WRIGHT CORPORATION, JENNISON-WRIGHT CORPORATION, JENNSION WRIGHT CORP, JENNSION WRIGHT CORPORATION",[Blank Date],www.epa.gov/superfund/jennison-wright,
28,ILD005443544,JOHNS-MANVILLE CORP.,WAUKEGAN,Lake,IL,GREENWOOD AVE,60085,R05,Final NPL,No,No,No,Yes,Insufficient Data,Yes,12/31/1991,,,,Active,Waste Management,Industrial waste landfill,,No,,38.2,No,"JOHNS MANVILLE, JOHNS MANVILLE, JOHNS MANVILLE, JOHNS MANVILLE CORP, JOHNS-MANVILLE CORP.",[Blank Date],www.epa.gov/superfund/johns-manville,
29,IL0210090049,JOLIET ARMY AMMUNITION PLANT (LOAD-ASSEMBLY-PACKING AREA),JOLIET,Will,IL,HWY 53 & ARSENAL AVE,60434,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,09/29/2008,,,,Active,Manufacturing/Processing/Maintenance,Ordnance production,Department of Defense,No,,35.23,Yes,"JOLIET ARMY AMMO PLT LAP AREA, JOLIET ARMY AMMO PLT LAP AREA, JOLIET ARMY AMMO PLT LAP AREA, JOLIET ARMY AMMUNITION PLANT (LAP AREA), JOLIET ARMY AMMUNITION PLANT (LOAD-ASSEMBLY-PACKING AREA), JOLIET ARMY AMMUNITION PLANT LAP AREA, US ARMY JOLIET ARMY AMMO PLT",12/11/1980,www.epa.gov/superfund/jolietarmy-ammo-assembly,IL0210090049 - ALLIANT TECHSYSTEMS INC
30,IL7213820460,JOLIET ARMY AMMUNITION PLANT (MANUFACTURING AREA),JOLIET,Will,IL,6MI S OF ELWOOD OFF RTE 53,60434,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,09/10/2008,,,,Active,Manufacturing/Processing/Maintenance,Ordnance production,Department of Defense,No,,32.08,Yes,"JOLIET ARMY AMMO PLT MFG, JOLIET ARMY AMMO PLT MFG, JOLIET ARMY AMMO PLT MFG, JOLIET ARMY AMMUNITION PLANT (MANUFACTURING AREA), JOLIET ARMY AMMUNITION PLANT (MFG AREA), JOLIET ARMY AMMUNITION PLANT MFG, US ARMY JOLIET ARMY AMMO PLT",12/11/1980,www.epa.gov/superfund/jolietarmy-ammo-manuf,
31,ILD980823991,KERR-MCGEE (KRESS CREEK/WEST BRANCH OF DUPAGE RIVER),DUPAGE COUNTY,Dupage,IL,KRESS CREEK JUST EAST OF EJ&E RR TRACKS,60185,R05,Final NPL,No,No,Yes,Yes,Not a Groundwater Site,Yes,11/06/2012,,,,Active,"Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance","Multiple, Other, Radioactive products",,No,,39.05,No,"KERR MCGEE KRESS CREEK, KERR-MCGEE (KRESS CREEK/W BRANCH DUPAGE), KERR-MCGEE (KRESS CREEK/WEST BRANCH OF DUPAGE RIVER), KERR-MCGEE (KRESS CREEK/WEST BRAND OF DU, KERR-MCGEE (KRESS CREEK/WEST BRAND OF DU, KERR-MCGEE KRESS CREEK & WEST BRANCH, KRESS CREEK, WEST BRANCH OF DUPAGE RIVER",02/01/1983,www.epa.gov/superfund/kerr-mcgee-kress creek,
32,ILD980824007,KERR-MCGEE (REED-KEPPLER PARK),WEST CHICAGO,Dupage,IL,NEAR JCT OF YALE & NATIONAL,60185,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,09/13/2002,,,,Active,"Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance","Multiple, Other, Radioactive products",,No,,,No,"KERR MCGEE REED KEPPLER P, KERR-MCGEE (REED-KEPPLER PARK), KERR-MCGEE (REED-KEPPLER PARK), KERR-MCGEE (REED-KEPPLER PARK), KERR-MCGEE REED KEPPLER PARK, KERR-MCGEE REED KEPPLER PARK, KERR-MCGEE REED KEPPLER PARK",06/01/1983,www.epa.gov/superfund/kerr-mcgee-reed-keppler,
33,ILD980824015,KERR-MCGEE (RESIDENTIAL AREAS),WEST CHICAGO,Dupage,IL,ADJACENT TO PLT AT 258 ANN STREET,60185,R05,Final NPL,No,No,Yes,Yes,Not a Groundwater Site,Yes,09/30/2003,,,,Active,Manufacturing/Processing/Maintenance,Radioactive products,,No,,38.15,No,"KERR MCGEE RESIDENTIAL AREAS, KERR-MCGEE (RESIDENTIAL AREAS), KERR-MCGEE (RESIDENTIAL AREAS), KERR-MCGEE (RESIDENTIAL AREAS), KERR-MCGEE (RESIDENTIAL AREAS), KERR-MCGEE RESIDENTIAL AREAS, KERR-MCGEE RESIDENTIAL AREAS, KERR-MCGEE RESIDENTIAL AREAS",06/01/1983,www.epa.gov/superfund/kerr-mcgee-residential,
