,EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name
34,ILD980824031,KERR-MCGEE (SEWAGE TREATMENT PLANT),WEST CHICAGO,Dupage,IL,Illinois Route 59,60185,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,09/29/2006,,,,Active,Waste Management,"Radioactive waste treatment, storage, disposal (non-generator)",,No,,,No,"KERR MCGEE SEWAGE TRMT PL, KERR-MCGEE (SEWAGE TREATMENT PLANT), KERR-MCGEE (SEWAGE TREATMENT PLANT), KERR-MCGEE (SEWAGE TREATMENT PLANT), KERR-MCGEE SEWAGE TRMT PLT SITE, KERR-MCGEE SEWAGE TRMT PLT SITE, KERR-MCGEE SEWAGE TRMT PLT SITE",06/01/1983,www.epa.gov/superfund/kerr-mcgee-sewageplant,
35,ILD000716852,LAKE CALUMET CLUSTER,CHICAGO,Cook,IL,122ND STREET AND STONY ISLAND AVENUE,60633,R05,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,Waste Management,Illegal disposal/open dump,,No,,30.0,No,"ALBURN INC, ALBURN INC, ALBURN INC LIQUID WASTE INCIN, ALBURN INCORPORATION, ANTHONSEN'S LDFL, ANTHONSEN'S LDFL, CAL-HARBOR DEVELOPMENT, EARTH II, EARTH II, HAAS INC, LAKE CALUMET CLUSTER, LAKE CALUMET CLUSTER SITE, PROFESSIONAL CONSTRUCTION, PROFESSIONAL SALES INC",[Blank Date],www.epa.gov/superfund/lake-calumet-cluster,
36,ILD980794333,LASALLE ELECTRIC UTILITIES,LA SALLE,La salle,IL,ST VINCENT RD,61301,R05,Final NPL,No,No,No,Yes,Yes,Yes,02/28/1994,,,,Active,Manufacturing/Processing/Maintenance,Electronic/electrical equipment,,No,,42.06,No,"LASALLE ELECTRIC UTILITIES, LASALLE ELECTRICAL UTILITIES, LASALLE ELECTRICAL UTILITIES",02/01/1981,www.epa.gov/superfund/lasalle-electric,
37,ILD005451711,"LENZ OIL SERVICE, INC.",LEMONT,Dupage,IL,RTE 83 & JEANE RD,60439,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,09/28/2009,,,,Active,Other,Product storage/distribution,,No,,42.33,No,"LENZ OIL SERVICE INC, LENZ OIL SERVICE INC, LENZ OIL SERVICE INC, LENZ OIL SERVICE, INC.",02/01/1984,www.epa.gov/superfund/lenz-oil,
38,IL0000064782,MATTHIESSEN AND HEGELER ZINC COMPANY,LA SALLE,La salle,IL,"PARTS OF SECT. 10, 11, 14 & 15, T33N-R1E",61301,R05,Final NPL,No,No,No,No,Yes,No,,,,,Active,Manufacturing/Processing/Maintenance,Primary metals/mineral processing,,No,,50.0,No,"CARUS CHEMICAL CO, MATTHIESSEN & HEGELER ZINC CO, MATTHIESSEN AND HEGELER ZINC CO., MATTHIESSEN AND HEGELER ZINC COMPANY, MATTHIESSEN HEGELER ZINCCOMPANY",09/27/1993,www.epa.gov/superfund/matthiessen-hegeler-zinc,
39,ILD980497788,MIG/DEWANE LANDFILL,BELVIDERE,Boone,IL,6505 Logan Avenue,61008,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,07/27/2017,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,49.91,No,"BONUS LDFL, DEWANE LDFL (MIG), M I G / DEWANE LANDFILL, MIG INVESTMENT, MIG/DEWANE LANDFILL",04/01/1979,www.epa.gov/superfund/mig-dewane-landfill,
40,ILD096731468,NL INDUSTRIES/TARACORP LEAD SMELTER,GRANITE CITY,Madison,IL,16TH & CLEVELAND BLVD,62040,R05,Final NPL,No,No,No,Yes,Yes,Yes,09/26/2000,,,,Active,Recycling,Batteries/scrap metals/secondary smelting/precious metal recovery,,No,,38.11,No,"HOYT PLT, N L INDUSTRIES/TARACORP LE, NATIONAL LEAD TARACORP, NL INDUSTRIES/TARACORP LE, NL INDUSTRIES/TARACORP LEAD SMELT SITE, NL INDUSTRIES/TARACORP LEAD SMELT SITE, NL INDUSTRIES/TARACORP LEAD SMELT SITE, NL INDUSTRIES/TARACORP LEAD SMELTER, ST LOUIS LEAD, RECYCLERS, TARACORP IND GRANITE CITY PLT",08/01/1980,www.epa.gov/superfund/nl-industries-taracorp-lead,ILD000667097 - ST LOUIS LEAD RECYCLERS
41,ILD984807990,NORTH SHORE GAS (NSG) NORTH PLANT,WAUKEGAN,Lake,IL,INTERSECTION OF PERSHING RD & DEHRINGER,60085,R05,Not NPL,No,Yes,No,Insufficient Data,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,WAUKEGAN TAR PITS,07/23/2007,www.epa.gov/superfund/northshore-gas-north,
42,ILD984809228,NORTH SHORE GAS SOUTH PLANT,WAUKEGAN,Lake,IL,100 SOUTH DUGAN DRIVE,60085,R05,Not NPL,No,Yes,No,No,No,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,"NORTH SHORE GAS (NSG) SOUTH PLANT, NORTH SHORE GAS PLANT, NORTH SHORE GAS PLANT - SOUTH PLANT FORMER MGP, NSG-COAL GASIFICATION PLANT",07/23/2007,www.epa.gov/superfund/northshore-gas-south,
43,IL0000034355,OLD AMERICAN ZINC PLANT,FAIRMONT CITY,St. clair,IL,JUNCTION OF 45TH ST AND COOKSON ROAD,62201,R05,Final NPL,No,No,No,No,Yes,No,,,,,Active,Manufacturing/Processing/Maintenance,Primary metals/mineral processing,,No,,30.0,No,,09/30/2015,www.epa.gov/superfund/old-american-zinc,
44,ILD980606750,OTTAWA RADIATION AREAS,OTTAWA,La salle,IL,"RTE 6 & RTE 71, OTTAWA AREA",61350,R05,Final NPL,No,No,No,No,Yes,No,,,,,Active,Manufacturing/Processing/Maintenance,Other,,No,,50.0,No,"OTTAWA CITY LDFL, OTTAWA RADIATION AREAS, OTTAWA RADON BUILDINGS, OTTAWA/LUMINOUS PROCESSES, SITE 12, SITE 13/14, SITE 15, SITE 16/17, SITE 18, SITE 19, SITE 2, SITE 3, SITE 4, SITE 5, SITE 7, SITE 8, SITE 9",[Blank Date],www.epa.gov/superfund/ottawa-radiation,
45,ILD005468616,OTTAWA TOWNSHIP FLAT GLASS SITE,NAPLATE,La salle,IL,CENTER ST & 20TH AVE,61350,R05,Not NPL,No,Yes,No,Yes,No,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Other,Environmental Protection Agency,No,,,No,"LIBBEY OWENS FORD CO PLT 5 & 7, LIBBEY OWENS FORD CO PLT 5 & 7, LOF GLASS PLT #5",04/10/2003,www.epa.gov/superfund/ottawa-township,
46,ILD000802827,OUTBOARD MARINE CORP.,WAUKEGAN,Lake,IL,200 SEA HORSE DR,60085,R05,Final NPL,No,No,No,Insufficient Data,No,Yes,09/30/2015,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,,No,"OMC, OMC WAUKEGAN, OMC-JOHNSON, OUTBOARD MARINE CORP JOHNSON, OUTBOARD MARINE CORP., OUTBOARD MARINE CORP/WAUKEGAN, OUTBOARD MARINE CORPORATION, OUTBOARD MARINE CORPORATION, WAUKEGAN COKE PLANT, WAUKEGAN HARBOR, WAUKEGAN MANUFACTURED GAS & COKE PLANT, WAUKEGAN MANUFACTURING GAS & COKE PLANT",08/01/1980,www.epa.gov/superfund/outboard-marine-corp,
47,ILD980606685,PAGEL'S PIT,ROCKFORD,Winnebago,IL,BAXTER & LINDENWOOD RD,61109,R05,Final NPL,No,No,No,Yes,No,Yes,09/30/1999,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,45.91,No,"PAGEL'S PIT, PAGEL'S PIT, PAGEL'S PIT, PAGELS PIT",[Blank Date],www.epa.gov/superfund/pagels-pit,
48,ILD005252432,PARSONS CASKET HARDWARE CO.,BELVIDERE,Boone,IL,424 FAIRVIEW AVENUE,61008-2308,R05,Final NPL,No,No,No,Yes,No,No,,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,55.58,No,"PARSON'S CASKET, PARSON'S CASKET HARDWARE COMPANY, PARSON'S CASKET HARDWARE COMPANY, PARSON'S CASKET HARDWARE COMPANY, PARSONS CASKET HARDWARE CO, PARSONS CASKET HARDWARE CO.",[Blank Date],www.epa.gov/superfund/parsons-casket,
49,ILN000510192,PEOPLES GAS CRAWFORD STATION FORMER MGP,CHICAGO,Cook,IL,3500 S. PULASKI RD (FORMERLY CRAWFORD AV,60623,R05,Not NPL,No,Yes,No,No,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,,10/31/2008,www.epa.gov/superfund/peoples-gas-crawford,
50,ILD982074767,PEOPLES GAS LIGHT & COKE - 22ND ST,CHICAGO,Cook,IL,2200 SOUTH RACINE & CERMAK,60608,R05,Not NPL,No,Yes,No,Insufficient Data,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,"22ND STREET STATION FORMER MGP, PEOPLES GAS LIGHT & COKE",10/31/2008,www.epa.gov/superfund/peoples-gas,
51,ILD982074783,PEOPLES GAS LIGHT & COKE - DIVISION ST,CHICAGO,Cook,IL,1241 W DIVISION STREET & ELSTON AVENUE,60642-4134,R05,Not NPL,No,Yes,No,Insufficient Data,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,"DIVISION STREET STATION FORMER MGP SITE, PEOPLES GAS LIGHT & COKE",10/31/2008,www.epa.gov/superfund/peoples-gas-division,
52,ILD982074775,PEOPLES GAS LIGHT & COKE NORTH STA,CHICAGO,Cook,IL,N. CROSBY & W. DIVISION & W. HOBBIE ST,60610,R05,Not NPL,No,Yes,No,Insufficient Data,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,PEOPLES GAS LIGHT & COKE NORTH STATION,10/31/2008,www.epa.gov/superfund/peoples-gas-northstation,
53,ILD982074759,PEOPLES GAS LIGHT & COKE WILLOW ST STATION,CHICAGO,Cook,IL,1701-1763 KINGSBURY,60614,R05,Not NPL,No,Yes,No,Insufficient Data,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,"PEOPLES GAS LIGHT & COKE WILLOW ST STA, PEOPLES GAS LIGHT & COKE-WILLOW ST STN",10/31/2008,www.epa.gov/superfund/peoples-gas-willow,
54,ILN000510193,PEOPLES GAS NORTH SHORE AVENUE STATION FORMER MGP,CHICAGO,Cook,IL,6659 NORTH KEDZIE AVENUE,60645,R05,Not NPL,No,Yes,Yes,Yes,Yes,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,PEOPLES GAS NORTH SHORE AVE STN FORMER M,06/14/2012,www.epa.gov/superfund/peoples-gas-northshore,
55,ILN000510191,PEOPLES GAS SOUTH STATION FORMER MGP,CHICAGO,Cook,IL,NW CORNER OF ELEANOR AND LOOMIS ST.,60608,R05,Not NPL,No,Yes,No,No,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,,10/31/2008,www.epa.gov/superfund/peoples-gas-south,
56,ILN000510194,PEOPLES GAS THROOP STREET FORMER MGP,CHICAGO,Cook,IL,2625 LOOMIS AVENUE,60608,R05,Not NPL,No,Yes,No,No,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Coal gasification,,No,,,No,PEOPLES GAS THROOP ST FORMER MGP,10/31/2008,www.epa.gov/superfund/peoples-gas-throop,
57,ILD003817137,PETERSEN SAND & GRAVEL,LIBERTYVILLE,Lake,IL,ILLINOIS ROUTES 21 & 137,60048,R05,Deleted NPL,Yes,No,Yes,Yes,Not a Groundwater Site,Yes,09/12/1989,,,,Active,Waste Management,Industrial waste facility (non-generator),,No,,,No,"PETERSEN SAND & GRAVEL, PETERSEN SAND & GRAVEL",[Blank Date],www.epa.gov/superfund/petersen-sand-gravel,
58,ILD053980454,SANDOVAL ZINC COMPANY,SANDOVAL,Marion,IL,BOX 263 SMELTER ROAD HIGHWAY 51,62882,R05,Final NPL,No,No,No,No,Yes,No,,,,,Active,"Manufacturing/Processing/Maintenance, Other","Other, Primary metals/mineral processing",,No,,30.0,No,"SANDOVAL ZINC CO, SANDOVAL ZINC COMPANY",12/01/1983,www.epa.gov/superfund/sandoval-zinc,
59,IL8143609487,SANGAMO ELECTRIC DUMP/CRAB ORCHARD NATIONAL WILDLIFE REFUGE (USDOI),CARTERVILLE,Williamson,IL,EAST OF STATE ROUTE 148,62959,R05,Final NPL,Yes,No,No,Yes,Insufficient Data,No,,,,,Active,Waste Management,Industrial waste landfill,Department of the Interior,No,,43.7,Yes,"CRAB ORCHARD, CRAB ORCHARD NATL REFUGE, IMC CHEM TROJAN DIV, OLIN CORP ORDILL AREA 12, OLIN CORP ORDILL D AREA, OLIN CORP ORDILL FIRE STA, OLIN CORP ORDILL I AREA, OLIN CORP ORDILL OGDEN ROAD, ORDILL WATER TOWER, SANGAMO DUMP/CRAV ORCHARD NWR (USDOI), SANGAMO ELECTRIC DUMP / CRAB ORCHARD, SANGAMO ELECTRIC DUMP/CRAB ORCHARD NAT., SANGAMO ELECTRIC DUMP/CRAB ORCHARD NAT., SANGAMO ELECTRIC DUMP/CRAB ORCHARD NATIONAL WILDLIFE REFUGE (USDOI), SANGAMO ELECTRIC/CRAB ORCHARD NWR (USDOI, US DOI SANGAM CRAB ORCH NWR, US DOI SANGAM CRAV ORCH NWR",04/01/1979,www.epa.gov/superfund/sangamo-dump-craborchard,"IL8143609487 - GENERAL DYNAMICS- OTS, A13"
60,ILD980792006,SAUGET AREA 1,SAUGET,St. clair,IL,"W OF FALLING SPRINGS RD, N OF JUDITH LN",62206,R05,Proposed NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,Waste Management,Industrial waste facility (non-generator),,No,,50.0,No,"DEAD CREEK, SAUGET AREA 1, SAUGET AREA 1, SAUGET AREA 1, SAUGET AREA I - DEAD CREEK",[Blank Date],www.epa.gov/superfund/sauget-area1,
61,ILD000605790,SAUGET AREA 2,SAUGET,St. clair,IL,MONSANTO AVENUE,62201,R05,Proposed NPL,No,No,No,Yes,Yes,No,,,,,Active,Waste Management,Industrial waste facility (non-generator),,No,,50.0,No,"EAGLE MARINE, EAST ST LOUIS SAUGET, MONSANTO SAUGET ILLINOIS LDFL, PAUL SAUGET, PEAVEY MARINE, SAUGET & CO LDFL, SAUGET & CO LDFL, SAUGET & COUNTY LANDFILL, SAUGET & COUNTY LANDFILL (SITE Q), SAUGET & COUNTY LANDFILL (SITE Q), SAUGET AREA 2, SAUGET AREA 2 (SITES O,P,Q,R,S), SAUGET LDFL, SAUGET MONSANTO LANDFILL, SAUGET MUNICIPAL, SAUGET SAUGET LDFL CLOSED, SAUGET WWTP; SAUGET TOXIC DUMP; SITE Q, SITE Q",04/01/1979,www.epa.gov/superfund/sauget-area2,
62,IL3210020803,SAVANNA ARMY DEPOT ACTIVITY,SAVANNA,Jo daviess,IL,7MI N OF SAVANNA ON RTE 84,61074,R05,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,Manufacturing/Processing/Maintenance,Ordnance production,Department of Defense,No,,42.2,Yes,"SAVANNA ARMY DEPOT, SAVANNA ARMY DEPOT, SAVANNA ARMY DEPOT ACTIVITY, US ARMY SAVANNA ARMY DEPOT ACTIVITY",[Blank Date],www.epa.gov/superfund/savanna-army-depot,
63,ILN000505540,SCHROUD PROPERTY,CHICAGO,Cook,IL,SW of intersection of 126th Street and Avenue O,60633,R05,Final NPL,No,No,No,Insufficient Data,Insufficient Data,No,,,,,Active,"Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance, Waste Management","Coal gasification, Coke production, Industrial waste landfill",,No,,50.0,No,,06/03/2019,www.epa.gov/superfund/schroud-property,
64,ILD981000417,SOUTHEAST ROCKFORD GROUND WATER CONTAMINATION,ROCKFORD,Winnebago,IL,2613 S 11TH ST,61109,R05,Final NPL,Yes,No,No,Yes,Yes,No,,,,,Active,Other,Ground water plume site with no identifiable source,,No,,,No,"SE ROCKFORD GROUNDWATER CONT, SE ROCKFORD GROUNDWATER CONT, SE ROCKFORD GROUNDWATER CONT, SOUTHEAST ROCKFORD DRY WELL, SOUTHEAST ROCKFORD GD WTR CONTAMINATION, SOUTHEAST ROCKFORD GROUND WATER CONTAMINATION, SOUTHEAST ROCKFORD GROUNDWATER",02/01/1985,www.epa.gov/superfund/southeast-rockford-groundwater,ILD010219665 - HAMILTON SUNDSTRAND
65,ILD048306138,"TRI-COUNTY LANDFILL CO./WASTE MANAGEMENT OF ILLINOIS, INC.",ELGIN,Kane,IL,7N 904 ILLINOIS ROUTE 25,60177,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,11/01/2001,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,42.76,No,"ELGIN LDFL, TRI COUNTY LANDFILL WASTE MANAGEMENT, TRI COUNTY LDFL, TRI COUNTY LDFL, TRI COUNTY LDFL WASTE MGMT OF IL, TRI COUNTY LDFL WASTE MGMT OF IL, TRI COUNTY LDFL WASTE MGMT OF IL, TRI-COUNTY LANDFILL CO./WASTE MANAGEMENT OF ILLINOIS, INC., TRI-COUNTY LANDFILL/WASTE MGMT ILLINOIS",04/01/1979,www.epa.gov/superfund/tri-county-waste-mgmt,
66,ILD000814673,VELSICOL CHEMICAL CORP. (MARSHALL PLANT),MARSHALL,Clark,IL,RTE 1 1MI N OF MARSHALL,62441,R05,Final NPL,Yes,No,Yes,Yes,Yes,Yes,09/30/1994,,,,Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,48.78,No,"MARSHALL PLT, VELSICOL CHEM CORP, VELSICOL CHEMICAL CORP (IL), VELSICOL CHEMICAL CORP. (ILLINOIS), VELSICOL CHEMICAL CORP. (MARSHALL PLANT), VELSICOL CHEMICAL CORP.(ILLINOIS)",[Blank Date],www.epa.gov/superfund/velsicol-chemical-marshall,
67,ILD047019732,WAUCONDA SAND & GRAVEL,WAUCONDA,Lake,IL,BONNER & GARLAND RD,60084,R05,Final NPL,Yes,No,Yes,Yes,Yes,Yes,08/22/1996,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,,No,"WAUCONDA SAND & GRAVEL, WAUCONDA SAND & GRAVEL CO, WAUCONDA SAND & GRAVEL CO, WAUCONDA SAND & GRAVEL CO",04/01/1979,www.epa.gov/superfund/wauconda-sand-gravel,
68,ILD980605943,WOODSTOCK MUNICIPAL LANDFILL,WOODSTOCK,Mchenry,IL,DAVIS ROAD,60098,R05,Final NPL,No,No,Yes,Yes,Yes,Yes,09/19/2000,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,50.1,No,"WOODSTOCK MUNICIPAL LANDFILL, WOODSTOCK MUNICIPAL LDFL, WOODSTOCK MUNICIPAL LDFL, WOODSTOCK MUNICIPAL LDFL",06/01/1981,www.epa.gov/superfund/woodstock-muni-landfill,
69,ILD980500102,YEOMAN CREEK LANDFILL,WAUKEGAN,Lake,IL,1011 WASHINGTON STREET,60085-5428,R05,Final NPL,No,No,No,Yes,Yes,Yes,09/23/2005,,,,Active,Waste Management,Municipal solid waste landfill,Environmental Protection Agency,No,,33.23,No,"EDWARD'S FIELD LANDFILL, YEOMAN CREEK, YEOMAN CREEK LANDFILL, YEOMAN CREEK LANDFILL, YEOMAN CREEK LDFL, YEOMAN CREEK LDFL, YEOMAN CREEK LDFL",[Blank Date],www.epa.gov/superfund/yeoman-creek-landfill,
